Code,Lat,Long,Families,Population,MTN,MCI
21184,36.773278,54.220076,89,245,20.35,83.29
21185,36.668304,54.147017,10,23,82.76,99.26
21186,36.807417,54.257189,71,207,100,99.01
21189,36.642585,54.096393,66,235,0,2.38
21190,36.860802,54.139183,96,319,88.72,98.9
21191,36.86807,54.156298,91,304,77.68,97.36
21192,36.802833,54.213808,106,279,100.01,100
21193,36.771051,54.077866,539,1623,100.01,92.51
21194,36.73552,54.070907,889,2680,100,100
21195,36.802954,54.245684,175,497,100,100
21196,36.756409,54.18581,77,204,99.25,100
21197,36.648641,54.063881,73,222,0,10.41
21198,36.816794,54.224546,211,598,97.46,74.91
21199,36.807908,54.223403,126,379,100,97.73
21200,36.847427,54.205845,1011,3080,72.94,100
21201,36.779685,54.225945,519,1589,35.03,69.83
21202,36.779031,54.248208,286,887,57.68,100
21204,36.826917,54.24161,1378,4093,100,100
21242,37.011722,54.391114,214,768,100,97.02
21243,37.092438,54.593406,107,375,98.98,100
21244,37.082138,54.556106,315,1280,100,97.86
21245,37.072269,54.566255,319,1061,99.35,99.59
21247,36.941419,54.518983,61,200,95.96,99.22
21248,37.049752,54.673528,485,1885,84.53,92.68
21249,37.007753,54.775184,746,2691,75.97,70.48
21251,37.014753,54.80912,117,409,54.41,100
21252,37.083014,54.750001,96,370,86.53,87.65
21253,37.132909,54.724933,61,232,100,49.22
21254,37.046278,54.864691,119,446,97.41,32.22
21255,37.079872,54.824262,352,1337,39.74,98.44
21256,37.055769,54.830051,623,2283,99.51,99.35
21257,37.068307,54.786419,183,692,34.49,100
21258,37.056555,54.793045,312,1077,45.2,62.7
21259,37.106034,54.777517,616,2251,43.18,99.64
21260,37.018905,54.817436,196,698,95.35,79.52
21261,36.955824,54.56148,118,467,100,100
21262,36.968195,54.664291,1298,4667,99.22,95.59
21263,36.958674,54.678135,182,638,80.91,80.16
21264,37.091145,54.61243,1219,4254,97.02,100
21265,36.95568,54.446249,177,692,100,100
21266,37.148509,54.659567,245,979,99.81,100
21267,37.014381,54.784656,419,1510,72.34,54.34
21268,36.856618,54.284962,42,158,100,100
21270,37.073129,54.703515,321,1234,100,100
21271,36.959188,54.469962,283,1123,100,87.47
21272,37.00102,54.417543,692,2704,97.43,89.9
21286,37.011472,54.515103,296,1132,99.2,99.72
21287,37.025114,54.531224,379,1442,99.82,100
21288,37.057693,54.55108,126,462,98.89,100
21289,36.994304,54.70191,538,2048,87,97.01
21290,37.01228,54.671353,541,2202,90.2,99.58
21291,37.013508,54.657207,486,1784,100,99.82
21292,36.961438,54.461255,292,1076,70.95,100
21293,36.990657,54.386569,1030,3676,99.57,100
21294,37.006762,54.692059,353,1262,65.6,82.63
21295,36.95761,54.571027,87,343,94.19,100.01
21296,37.230079,54.999017,1451,5333,100,99.72
21297,37.01438,54.503759,602,2197,96.79,91.35
21298,37.038869,54.838914,323,1163,100,78.59
21299,36.929863,54.440133,351,1357,86.32,100
21300,37.064975,54.54026,352,1319,100,100
21301,36.992187,54.736842,796,3308,100,100
21302,36.895497,54.21955,129,435,83.48,77.55
21303,37.055938,54.778394,301,1153,51.93,100
21304,37.01987,54.614015,308,1194,98.08,100
21305,36.964124,54.515684,398,1566,76.91,87.6
21306,36.970174,54.550052,300,1013,99.33,91.38
21307,37.021864,54.646538,639,2234,99.93,99.86
21308,36.995266,54.714035,121,451,100,100
21309,37.075745,54.726683,753,2826,100,100
21311,37.019946,54.485275,119,478,99.77,96.28
21313,37.135477,54.610627,24,104,100,100
21314,37.033774,54.537974,344,1234,97.88,100
21316,36.985801,54.55011,424,1490,100,88.36
21317,36.938101,54.38694,767,2822,100.01,94.79
21318,37.021265,54.497223,329,1313,98.83,99.09
21319,37.186461,54.737009,1104,4103,99.81,99.53
21408,36.907199,54.47097,469,1555,73.91,76.19
21410,36.838147,54.565117,252,766,100,100
21411,36.896611,54.486351,804,2572,100,99.34
21413,36.840928,54.581218,622,1908,99.89,100
21414,36.805057,54.495372,275,892,16.68,100
21415,36.861528,54.644477,300,1009,97.14,90.96
21416,36.875103,54.634651,590,1869,100,98.62
21417,36.934825,54.59051,179,569,82.87,100
21418,36.782449,54.583429,56,182,37.92,100
21419,36.805427,54.429706,367,1149,87.84,99.04
21421,36.878401,54.540157,159,548,43.5,62.28
21424,36.885934,54.602597,88,304,99.37,98.74
21425,36.90839,54.554817,318,1055,19.74,98.6
21426,36.845754,54.571711,210,604,99.69,97.98
21427,36.879687,54.499209,240,791,97.66,58.39
21429,36.918548,54.498691,385,1263,62.32,100
21430,36.85895,54.517997,418,1415,91.56,88.78
21431,36.913133,54.594066,130,393,99.03,100
21432,36.898378,54.52228,335,1163,78.83,18.24
21433,36.898713,54.460233,326,1092,100,95.21
21434,36.856177,54.496973,274,891,91.07,88.29
21435,36.819474,54.592395,572,1744,98.17,47.21
21436,36.884748,54.453192,708,2542,93.67,96.5
21437,36.895513,54.511218,71,192,63.87,85.68
21438,36.792856,54.014022,803,5192,99.69,100
21439,36.876199,54.59974,458,1384,92.84,83.95
21440,36.868644,54.469951,302,984,100,86.25
